title,image_url,date,location,price
Revlon Beauty MoistureStay Spa Deep Clean Facial Sauna RVS1102,https://images.craigslist.org/01010_azFFrAyYtVKz_0jL0t2_600x450.jpg,2021-09-04 17:38,"(San Dimas, California san gabriel valley )",$20
Nespresso Vertuo Coffee Machine and Aeroccino Milk Frother,https://images.craigslist.org/00Z0Z_cbRbv0xSaFBz_0CI0t2_600x450.jpg,2021-09-04 17:36,(Los Angeles westside-southbay-310 ),$249
Hepa air purifier,https://images.craigslist.org/00S0S_bnisn8xvrIUz_0t20CI_600x450.jpg,2021-09-04 17:36,(Playa del Rey westside-southbay-310 ),$45
Apt Size Refrigerator,https://images.craigslist.org/00h0h_8rPbCzzNEorz_0Ok156_600x450.jpg,2021-09-04 17:33,(North Hollywood san fernando valley ),$210
Carbon Monoxide Alarm (Model: First Alert UP-IAD-12-A) for sale,https://images.craigslist.org/00Q0Q_3F7MCZzALAOz_09G09G_600x450.jpg,2021-09-04 17:32,(Los Angeles central LA 213/323 ),$5
COLDWAVE Beverage Chiller for sale,https://images.craigslist.org/00i0i_cDkkqK2m98x_600x450.jpg,2021-09-04 17:31,(Los Angeles central LA 213/323 ),$20
DeLonghi Nespresso Espresso Machine Maker,https://images.craigslist.org/00b0b_hYCKbXRhTXIz_0CI0t2_600x450.jpg,2021-09-04 17:31,(Granada Hills san fernando valley ),$100
Frigidaire Dishwasher,https://images.craigslist.org/00E0E_jqVJ7fBrUWYz_0by0fp_600x450.jpg,2021-09-04 17:31,(Culver City westside-southbay-310 ),$40
Non- working Takagi T-K1 Tankless Water Heater for Parts or Repair,https://images.craigslist.org/00d0d_7bMgVSvBlx7z_0dO0hO_600x450.jpg,2021-09-04 17:28,( san gabriel valley ),$149
Washer & Dryer set,https://images.craigslist.org/01717_eBANPaIquQgz_0CI0t2_600x450.jpg,2021-09-04 17:25,(Los Angeles westside-southbay-310 ),$850
Kenmore Gas Washer/Dryer Set,https://images.craigslist.org/00M0M_gS24dXkrWpJz_0CI0t2_600x450.jpg,2021-09-04 17:22,(Culver City westside-southbay-310 ),$75
New 10 GPM Tankless Condensing Water Heater,https://images.craigslist.org/00J0J_fXIQ3MWnHjNz_0ew0ew_600x450.jpg,2021-09-04 17:20,( san gabriel valley ),$999
Commercial Refrigerator,https://images.craigslist.org/00O0O_j55cXzmlsvnz_0g80c6_600x450.jpg,2021-09-04 17:20,(Los Angeles central LA 213/323 ),"$3,000"
Whirlpool Refrigerator,https://images.craigslist.org/00L0L_jKnWzmHqQ4jz_0gl0t2_600x450.jpg,2021-09-04 17:20,(Silver lake central LA 213/323 ),$200
Brand New GE 6.8 cu. ft. capacity Dura Drum Electric Dryer,https://images.craigslist.org/00j0j_a4Ycxu0zxvRz_0t20CI_600x450.jpg,2021-09-04 17:18,(Duarte san gabriel valley ),$260
Oasis Chrome Bath Faucet (Model: 304-CH) For Sale,https://images.craigslist.org/00000_i6p0EJj0pWtz_0c60g8_600x450.jpg,2021-09-04 17:18,(Los Angeles central LA 213/323 ),$50
Countertop Microwave,https://images.craigslist.org/00n0n_9wnxw9AD3NDz_0kx0fp_600x450.jpg,2021-09-04 17:15,(Culver City westside-southbay-310 ),$20
Move Out Sale-Kevin Dundon Slow-Cooker,https://images.craigslist.org/00H0H_6n2prULMq62z_0CI0t2_600x450.jpg,2021-09-04 17:14,(Long Beach long beach / 562 ),$10
Hoover SteamVac Carpet Cleaner with Detergent,https://images.craigslist.org/01515_hv73zpYuQH1z_0fF0t2_600x450.jpg,2021-09-04 17:10,(Gardena westside-southbay-310 ),$60
** LG Portable  AC ** w/remote and window unit **,https://images.craigslist.org/00A0A_7lAnd3F7XuXz_0lM0t2_600x450.jpg,2021-09-04 17:10,(Montrose san gabriel valley ),$179
Washer Dryer,https://images.craigslist.org/00Q0Q_6GmB1OdnVeqz_0t20CI_600x450.jpg,2021-09-04 17:09,(Glendale san fernando valley ),$100
Wolf Island Hood,https://images.craigslist.org/00T0T_ayerHRZ2umlz_0x20oM_600x450.jpg,2021-09-04 17:08,( westside-southbay-310 ),"$1,250"
Dacor Range 48 inch double oven,https://images.craigslist.org/00Z0Z_lTfSlxrcXBzz_0x20oM_600x450.jpg,2021-09-04 17:08,( westside-southbay-310 ),"$7,800"
John Boos Butcher Island,https://images.craigslist.org/00l0l_aRAExqzNzk6z_1320MM_600x450.jpg,2021-09-04 17:08,( westside-southbay-310 ),"$1,450"
27 inch Viking Oven,https://images.craigslist.org/00Y0Y_cUgBk9VsRDDz_0x20oM_600x450.jpg,2021-09-04 17:08,(Alhambra westside-southbay-310 ),"$1,750"
Dacor Grill,https://images.craigslist.org/00o0o_a88QiAdggLN_05a03S_600x450.jpg,2021-09-04 17:07,( westside-southbay-310 ),$650
Chambers Copper Stove,https://images.craigslist.org/00303_ieTC1Sn3thu_600x450.jpg,2021-09-04 17:07,(Alhambra westside-southbay-310 ),"$2,250"
30 inch kitchenaid cooktop,https://images.craigslist.org/00Q0Q_gOnuBKpUfzEz_0gw0co_600x450.jpg,2021-09-04 17:06,( westside-southbay-310 ),$650
Danby 9.2 cu ft. Bottom Freezer Refrigerator,https://images.craigslist.org/00101_6GANCLBJqbfz_0t20CI_600x450.jpg,2021-09-04 17:06,(Hawthorne westside-southbay-310 ),$350
all kids Toros fun happy photo booth bulls mecanico mechanical bull,https://images.craigslist.org/00000_6pNpFWXGRZS_0eQ068_600x450.jpg,2021-09-04 16:58,(covina/azusa san gabriel valley ),$1
"Chefman Frozurt, Frozen Dessert Maker",https://images.craigslist.org/00G0G_dN4Slgbz39Hz_0jm0pO_600x450.jpg,2021-09-04 16:57,(koreatown central LA 213/323 ),$50
BISSELL Steam Shot Steam Cleaner,https://images.craigslist.org/00606_7A5y4GyFPaHz_09m09m_600x450.jpg,2021-09-04 16:57,(koreatown central LA 213/323 ),$40
Whirlpool apartment Refrigerator,https://images.craigslist.org/00707_aXQ86MUUamUz_0lM0t2_600x450.jpg,2021-09-04 16:56,(Covina san gabriel valley ),$250
Air conditioner,https://images.craigslist.org/00s0s_hPv43wzSb7Gz_0t20CI_600x450.jpg,2021-09-04 16:56,(Covina san gabriel valley ),$90
"NEW WATER HEATERS 30, 40, 50, 75, 100 Gallons Rheem",https://images.craigslist.org/01313_jB4LqFTQMru_600x450.jpg,2021-09-04 16:53,(Delivery installation anywhere westside-southbay-310 ),$490
"NEW WATER HEATERS 30, 40, 50, 75, 100 Gallons Rheem",https://images.craigslist.org/01313_jB4LqFTQMru_600x450.jpg,2021-09-04 16:53,(Delivery installation anywhere westside-southbay-310 ),$490
"NEW WATER HEATERS 30, 40, 50, 75, 100 Gallons Rheem",https://images.craigslist.org/01313_jB4LqFTQMru_600x450.jpg,2021-09-04 16:53,(Delivery installation anywhere westside-southbay-310 ),$490
GE Dishwasher Stainless Steel NEW,https://images.craigslist.org/00e0e_9KslYeZKmy6z_0t20CI_600x450.jpg,2021-09-04 16:50,(Montebello san gabriel valley ),$395
Whirlpool sxs Refrigerator,https://images.craigslist.org/00j0j_41LynXC1heLz_0lM0t2_600x450.jpg,2021-09-04 16:46,(Covina san gabriel valley ),$299
Samsung counter depth refrigirator,https://images.craigslist.org/00y0y_e0GpGqk0WE3z_0t20CI_600x450.jpg,2021-09-04 16:46,(Valencia san fernando valley ),$500
ANTIQUE STOVE WEDGEWOOD,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/330px-No-Image-Placeholder.svg.png,2021-09-04 16:45,(RESEDA san fernando valley ),$300
Singer 281 industrial sewing machine,https://images.craigslist.org/00A0A_e0oWy69EUigz_0CI0t2_600x450.jpg,2021-09-04 16:42,(Pomona san gabriel valley ),$200
popeil pasta and sausage maker,https://images.craigslist.org/00H0H_lxGpIXI7NjVz_0t20t2_600x450.jpg,2021-09-04 16:42,(MANHATTAN BEACH westside-southbay-310 ),$50
Crock-Pot Stainless Steel Trio Cook & Serve Slow Cooker & Food Warmer,https://images.craigslist.org/00e0e_iuvKWFTeIsGz_1320MM_600x450.jpg,2021-09-04 16:38,(Redondo Beach westside-southbay-310 ),$50
General Electric two door white refrigerator Made in USA,https://images.craigslist.org/00z0z_29k6tyXxmixz_0t20CI_600x450.jpg,2021-09-04 16:38,(Encino san fernando valley ),$120
General Electric two door white refrigerator Made in USA,https://images.craigslist.org/00z0z_29k6tyXxmixz_0t20CI_600x450.jpg,2021-09-04 16:37,(Encino san fernando valley ),$120
Coca Cola/Coke Machine/Chest,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/330px-No-Image-Placeholder.svg.png,2021-09-04 16:35,(West Covina san gabriel valley ),$450
&&& GREAT PRICE ON WASHER DRYER AND STACKABLE &&&,https://images.craigslist.org/00z0z_2LWGw5hfFbs_09G07g_600x450.jpg,2021-09-04 16:33,(OC/LA/IE long beach / 562 ),$130
Electrolux Washing Machine Hose,https://images.craigslist.org/00o0o_3ab88ZMkLIJ_0CI0t2_600x450.jpg,2021-09-04 16:33,( san fernando valley ),$5
Kenmore 18 Cubic Foot Refrigerator,https://images.craigslist.org/00A0A_3R8bqLAMxAWz_0t20CI_600x450.jpg,2021-09-04 16:31,(Lakewood long beach / 562 ),$220
Gas dryer,https://images.craigslist.org/01313_kFfgPpYVpLVz_0MM132_600x450.jpg,2021-09-04 16:29,(Covina san gabriel valley ),$675
Gas dryer,https://images.craigslist.org/00202_9aD9lylpTrFz_0MM132_600x450.jpg,2021-09-04 16:29,(Covina san gabriel valley ),"$1,025"
Whirlpool Gas drye,https://images.craigslist.org/00I0I_28L1INOp6U8z_0t20CI_600x450.jpg,2021-09-04 16:29,(Covina san gabriel valley ),$199
KitchenAid 5 Quart Stand Mixer,https://images.craigslist.org/00L0L_6gZGDbCtFfMz_0qC0t2_600x450.jpg,2021-09-04 16:29,"(Lancaster, CA antelope valley )",$250
Conservator Refrigerator top Freezer white,https://images.craigslist.org/00909_coLMaQmtjOzz_0uM14A_600x450.jpg,2021-09-04 16:29,(Covina san gabriel valley ),$680
7 Foot Rigid Shop Vac Hose,https://images.craigslist.org/00404_5gm9RzED2s7z_0CI0t2_600x450.jpg,2021-09-04 16:29,( san fernando valley ),$10
New Ice maker,https://images.craigslist.org/00A0A_feaH0ohCQQnz_0uM14A_600x450.jpg,2021-09-04 16:28,(Covina san gabriel valley ),$40
New Ice maker,https://images.craigslist.org/00A0A_feaH0ohCQQnz_0uM14A_600x450.jpg,2021-09-04 16:28,(Covina san gabriel valley ),$40
Conservator refrigerator stainless,https://images.craigslist.org/00O0O_aRiFeKzZaJyz_0qw13c_600x450.jpg,2021-09-04 16:28,(Covina san gabriel valley ),$700
Mr. Coffee BVMC-SJX36 12 Cup Programmable Coffeemaker Bordeaux,https://images.craigslist.org/00S0S_1RkwTbELP1Tz_0c80c8_600x450.jpg,2021-09-04 16:28,(Hollywood central LA 213/323 ),$5
Gas dryer,https://images.craigslist.org/00D0D_ac7iS7brmK0z_0MM132_600x450.jpg,2021-09-04 16:28,(Covina san gabriel valley ),$550
Gas dryer,https://images.craigslist.org/01313_kFfgPpYVpLVz_0MM132_600x450.jpg,2021-09-04 16:27,(Covina san gabriel valley ),$675
Kenmore Dryer,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/330px-No-Image-Placeholder.svg.png,2021-09-04 16:27,(Chatsworth central LA 213/323 ),$40
THERMADOR 4 glass burner stove,https://images.craigslist.org/00x0x_lRDSvA8xbz6z_0CI0t2_600x450.jpg,2021-09-04 16:27,(Woodland Hills san fernando valley ),$150
Kenmore Dryer,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/No-Image-Placeholder.svg/330px-No-Image-Placeholder.svg.png,2021-09-04 16:27,(Chatsworth central LA 213/323 ),$40
4 vacuums,https://images.craigslist.org/00W0W_aVNRtKAegRyz_0CI0t2_600x450.jpg,2021-09-04 16:25,(Mar Vista westside-southbay-310 ),$20
NIB Zoku Slush & Shake Maker,https://images.craigslist.org/00101_3msN5nDckJxz_0lM0t2_600x450.jpg,2021-09-04 16:17,(Sherman Oaks san fernando valley ),$12
1.6 Cubic Ft Refrigerator,https://images.craigslist.org/00K0K_2CZRaODYBw1z_0ak07K_600x450.jpg,2021-09-04 16:16,(Pasadena san gabriel valley ),$35
Cuisinart Ice Cream Maker,https://images.craigslist.org/00Q0Q_lo3hDjs35wxz_0bs0bs_600x450.jpg,2021-09-04 16:15,( san gabriel valley ),$40
GE Monogram 36” Gas Professional Cooktop,https://images.craigslist.org/00202_jSdU3p3apZs_0CI0t2_600x450.jpg,2021-09-04 16:14,(Culver City central LA 213/323 ),"$1,100"
stove,https://images.craigslist.org/00o0o_iNGOpMQEtDDz_0aG0ee_600x450.jpg,2021-09-04 16:14,(LOS ANGELES central LA 213/323 ),$250
"8,000 BTU Frigidaire Window AC Unit",https://images.craigslist.org/01717_9zVrvF1Ee4Cz_1320MM_600x450.jpg,2021-09-04 16:13,(Highland Park central LA 213/323 ),$100
"2x Samsung washer/dryer pedestals (black, both NIB)",https://images.craigslist.org/00i0i_70pQMGgpmmz_0g80g8_600x450.jpg,2021-09-04 16:11,(Alhambra san gabriel valley ),$200
Kenmore refrigerator with bottom freezer,https://images.craigslist.org/00S0S_5uNfR7ChzO1z_0t20CI_600x450.jpg,2021-09-04 16:05,(San Gabriel san gabriel valley ),$100
Kirby G3 Upright Vacuum,https://images.craigslist.org/00v0v_kDzWhE3Rfm3z_0bu0t2_600x450.jpg,2021-09-04 16:03,(Lomita westside-southbay-310 ),$40
washer/dryer   gas great condition,https://images.craigslist.org/00s0s_kQLms3yG0a1z_09b0nv_600x450.jpg,2021-09-04 16:03,( san fernando valley ),$500
Lasko Vintage Mini Heater model 911,https://images.craigslist.org/00505_l87LpPfpCnLz_0CI0oy_600x450.jpg,2021-09-04 16:02,(Lomita westside-southbay-310 ),$20
Keurig Elite B40 Coffee Machine,https://images.craigslist.org/00Z0Z_6MteFoUO5dzz_0kX0t2_600x450.jpg,2021-09-04 16:02,(Lomita westside-southbay-310 ),$30
stainless steel stove top,https://images.craigslist.org/00303_4dPZDb8gwLmz_0CI0t2_600x450.jpg,2021-09-04 16:01,( san fernando valley ),$275
